75,6,88
21,74,22
71,64,57
21,29,62
26,39,97
63,16,58
27,86,81
5,65,73
97,14,2
41,72,82
90,20,16
98,77,84
20,20,48
24,96,39
35,94,69
98,17,14
25,56,43
94,6,2
23,55,39
99,13,42
92,95,4
28,66,13
49,38,58
100,58,65
7,12,72
59,28,47
64,63,38
63,29,12
54,50,97
23,76,44
59,17,15
55,30,9
62,17,88
66,98,22
48,50,20
50,95,81
50,87,32
96,77,59
61,52,70
15,37,73
84,38,72
56,88,19
68,24,13
37,3,83
36,17,24
53,40,5
21,45,97
12,20,72
55,53,38
13,87,94
86,83,49
78,29,61
20,59,6
90,13,21
56,26,53
96,20,16
42,87,19
54,19,63
76,26,20
4,29,75
79,41,77
68,52,58
30,7,84
95,70,12
76,88,9
60,49,26
23,84,83
23,12,34
29,69,16
82,73,15
64,36,76
97,39,89
80,57,75
53,60,75
87,28,22
59,4,64
95,22,3
14,44,91
25,7,92
59,60,13
54,89,40
84,11,13
31,50,26
21,63,27
41,8,30
3,70,55
43,51,28
44,84,33
1,58,46
16,66,80
100,8,13
8,28,42
75,99,5
60,70,54
35,50,14
74,13,24
15,59,68
92,23,69
14,69,28
45,89,69
51,67,81
1,25,12
9,73,61
95,33,70
86,55,19
34,48,77
80,47,51
38,92,34
68,70,64
82,47,52
6,41,57
50,45,5
12,69,69
25,15,55
37,41,63
59,72,18
2,92,100
3,20,71
76,43,79
78,3,29
16,18,88
47,65,69
80,44,17
75,56,98
28,86,79
50,13,78
88,13,26
37,39,9
10,46,12
86,84,97
13,76,61
70,75,49
46,79,82
29,82,20
78,62,33
21,13,49
84,21,74
62,3,41
62,37,82
5,16,51
73,34,90
11,67,82
52,15,48
79,36,42
46,70,67
17,37,71
47,47,35
31,19,49
76,73,80
95,69,46
17,86,51
16,59,46
34,75,16
72,5,95
88,6,50
37,91,68
22,19,100
50,22,25
97,61,61
34,58,98
90,50,90
35,65,62
7,3,88
53,58,100
30,11,69
57,66,98
7,87,90
24,61,51
4,17,72
73,91,45
22,9,16
75,73,62
41,32,74
38,46,26
38,46,43
45,33,10
83,100,3
82,74,7
4,43,52
96,68,41
69,1,10
71,68,54
26,31,42
29,67,80
16,38,38
94,62,90
70,66,28
55,97,68
82,85,57
9,71,25
1,61,28
37,76,94
6,4,39
34,77,85
78,12,73
22,89,18
9,29,95
94,67,3
35,15,15
75,51,8
45,62,84
77,53,94
75,44,32
78,44,4
81,23,70
55,95,57
7,16,40
78,56,40
37,16,94
61,91,47
51,80,56
76,65,50
85,1,7
58,43,4
75,43,21
17,91,36
70,53,59
64,100,63
28,87,14
93,18,80
70,66,48
41,25,92
